"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","406","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","17","Карта отображается на начальном экране","tests","2026-05-13","passed","2026-05-13","TestRouteRendering","test_route_rendering","",""
"","606","Переключение между табами Оптимальный и Быстрый пересчитывает маршрут","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","45","Отображается поле Комментарий водителю","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","640","При выборе типа Драйв в табе Свой активна кнопка Забронировать","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","80","Отображается поле Способ оплаты","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","628","Форма заказа содержит все тарифы по ТЗ","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","429","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","469","При выборе таба Свой все типы передвижения становятся активными","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","132","Блок маршрута при одинаковых адресах содержит 'Авто Бесплатно В пути 0 мин.'","tests","2026-05-13","passed","2026-05-13","TestRouteBlockRendering","test_route_block_rendering","",""
"","661","Полный флоу: выбор тарифа Рабочий — окно ожидания машины","tests","2026-05-13","passed","2026-05-13","TestTaxiFullFlow","test_taxi_order","",""
"","614","Блок выбора маршрута отображается при вводе двух разных адресов","tests","2026-05-13","passed","2026-05-13","TestRouteBlockRendering","test_route_block_rendering","",""
"","362","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","433","При выборе таба Быстрый активна кнопка Вызвать такси","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","518","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","29","Отображается блок Требования к заказу","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","414","Переключение на таб Оптимальный — таб становится активным","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","19344","Полный флоу: окно совершенного заказа после окончания таймера","tests","2026-05-13","passed","2026-05-13","TestTaxiFullFlow","test_taxi_order","",""
"","450","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","skipped","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","15","Форма заказа отображает 6 тарифов","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","416","Таб Свой — становится активным после нажатия","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","27","Один из тарифов активен по умолчанию","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","39998","Полный флоу: нажатие кнопки Отмена закрывает окно заказа","tests","2026-05-13","passed","2026-05-13","TestTaxiFullFlow","test_taxi_order","",""
"","372","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","585","Две точки маршрута на карте при вводе двух разных адресов","tests","2026-05-13","passed","2026-05-13","TestRouteRendering","test_route_rendering","",""
"","444","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","445","Отображается поле Телефон","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","374","Переключение на таб Быстрый — таб становится активным","tests","2026-05-13","passed","2026-05-13","TestTaxiOrderPreparation","test_taxi_preparation","",""
"","384","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","379","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","skipped","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","601","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","34836","Полный флоу: в деталях поездки указана стоимость тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiFullFlow","test_taxi_order","",""
"","385","Текст заголовка и описания tooltip соответствует ТЗ для всех тарифов","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
"","364","Всплывающее окно при наведении на иконку i каждого тарифа","tests","2026-05-13","passed","2026-05-13","TestTaxiTariff","test_taxi_order","",""
